GAME_ID,POSSESSION_ID,TEAM_ID,START_X,START_Y,END_X,DISTANCE,DURATION,THIRD,DOMINANT_ZONE,ENTRY_ZONE,EXIT_ZONE,START_TIME,END_TIME,DEF_WIDTH,SHOT,XG,GOAL,TURNOVER,TEAM_0_SCORE,TEAM_1_SCORE,SCORE_STATE
3,4393,0,78.39871,48.85643,100.66057,22.261856,36,middle_third,central,central,central,126,161,9.072,True,0.7704301295525147,True,False,0.0,0.0,tied
3,4446,1,29.150837,55.842102,12.08102,17.069817,40,final_third,central,central,wide,250,289,13.795,True,0.1523278321930847,False,False,1.0,0.0,losing
3,4516,0,67.5066,61.076332,109.864365,42.357765,65,middle_third,wide,wide,wide,377,441,14.83,False,0.0,False,False,1.0,0.0,winning
3,4821,1,56.18733,33.20089,13.66132,42.52601,72,middle_third,central,central,wide,999,1070,8.853,True,0.263126433191255,False,False,2.0,0.0,losing
3,4890,0,79.40939,25.835949,112.76613,33.356735,60,middle_third,wide,central,wide,1182,1241,14.474,False,0.0,False,True,2.0,0.0,winning
3,5003,1,72.85486,53.148266,3.256359,69.598495,110,middle_third,wide,central,wide,1411,1520,14.75,True,0.0538440767568933,False,False,2.0,0.0,losing
3,5004,0,3.379805,65.4066,14.004858,10.625053,15,defensive_third,wide,wide,wide,1521,1535,15.645,False,0.0,False,True,2.0,0.0,winning
3,5103,0,75.40663,40.98902,101.9296,26.522972,44,middle_third,central,central,central,1640,1683,13.988,False,0.0,False,True,2.0,0.0,winning
3,5155,1,57.61541,41.418114,46.79828,10.817131,27,middle_third,central,central,central,1747,1773,13.558,False,0.0,False,True,2.0,0.0,losing
3,5248,1,27.591158,41.01604,17.302645,10.288513,36,final_third,central,central,central,1871,1906,14.219,True,0.1947867803712952,False,False,2.0,0.0,losing
3,5288,0,53.313602,35.712063,75.43332,22.119717,39,middle_third,central,central,central,1946,1984,14.124,False,0.0,False,True,2.0,0.0,winning
3,5447,1,36.579063,27.999619,24.354498,12.2245655,78,final_third,wide,central,wide,2248,2325,14.974,False,0.0,False,False,2.0,0.0,losing
3,5567,1,65.091995,42.766808,45.387615,19.70438,46,middle_third,central,central,central,2494,2539,13.782,False,0.0,False,False,2.0,0.0,losing
3,5700,0,66.48722,51.35742,86.00209,19.51487,42,middle_third,central,central,wide,2739,2780,13.509,True,0.0077250145105486456,True,False,2.0,0.0,winning
3,5707,0,90.214264,49.733368,101.34986,11.135597,24,final_third,central,central,central,2787,2810,12.977,True,0.0077250145105486456,True,False,2.0,0.0,winning
3,5747,0,67.92484,34.51642,103.82948,35.90464,50,middle_third,central,central,central,2880,2929,11.15,True,0.543934528653453,False,False,3.0,0.0,winning
4,5816,0,94.228645,24.891996,111.14976,16.921112,31,final_third,central,central,central,115,145,12.582,True,0.0018314748083521823,False,False,0.0,0.0,tied
4,5957,0,77.57999,50.68071,102.935394,25.355408,44,middle_third,central,central,central,351,394,13.633,True,0.5487662350404384,False,False,0.0,0.0,tied
4,6057,0,76.00232,1.0647292,104.26429,28.26197,76,middle_third,wide,wide,wide,525,600,16.237,False,0.0,False,False,0.0,0.0,tied
4,6360,0,72.82119,16.572178,84.32476,11.503571,25,middle_third,wide,wide,wide,1122,1146,14.242,False,0.0,False,False,0.0,0.0,tied
4,6384,0,91.48842,59.424637,110.48109,18.992668,34,final_third,wide,wide,wide,1204,1237,13.522,False,0.0,False,True,0.0,0.0,tied
4,6453,1,112.74077,19.014,93.21407,19.526695,31,defensive_third,wide,wide,wide,1352,1382,16.49,False,0.0,False,False,0.0,0.0,tied
4,6459,1,84.40688,21.670105,69.68437,14.722511,23,defensive_third,wide,wide,wide,1388,1410,15.594,False,0.0,False,False,0.0,0.0,tied
4,6499,1,34.930645,18.744572,10.566359,24.364286,44,final_third,wide,wide,wide,1499,1542,14.851,False,0.0,False,True,0.0,0.0,tied
4,6794,1,72.15069,33.166862,27.962212,44.188477,72,middle_third,central,central,wide,1976,2047,14.395,True,0.13319763368605772,True,False,0.0,0.0,tied
4,6823,0,67.0101,40.123028,109.386375,42.376274,74,middle_third,central,central,wide,2099,2172,9.863,True,0.1738998457717422,False,False,0.0,1.0,losing
4,6907,1,44.885933,37.75438,12.501923,32.38401,62,middle_third,central,central,wide,2257,2318,14.283,False,0.0,False,False,0.0,1.0,winning
4,6919,1,19.665257,23.10427,8.911743,10.753513,70,final_third,wide,wide,wide,2351,2420,14.203,True,0.0006637122213825157,False,False,0.0,1.0,winning
4,7100,1,61.571045,29.289513,22.985594,38.58545,65,middle_third,central,central,central,2708,2772,13.569,False,0.0,False,False,0.0,1.0,winning
5,7583,1,52.77926,17.869253,10.78311,41.996147,78,middle_third,wide,wide,wide,544,621,14.678,False,0.0,False,True,0.0,0.0,tied
5,7742,1,31.857634,65.4926,6.6570997,25.200535,46,final_third,wide,wide,wide,819,864,14.924,False,0.0,False,True,0.0,0.0,tied
5,7815,0,67.76086,50.526382,83.21946,15.458603,42,middle_third,central,central,central,1008,1049,13.274,False,0.0,False,True,0.0,0.0,tied
5,7822,0,88.91139,43.449802,102.34163,13.430237,18,final_third,central,central,central,1056,1073,13.684,False,0.0,False,True,0.0,0.0,tied
5,7980,0,56.38735,40.39972,75.34873,18.961384,49,middle_third,central,central,central,1319,1367,13.858,False,0.0,False,False,0.0,0.0,tied
5,7991,0,81.47047,63.78673,100.97815,19.507683,69,final_third,wide,wide,central,1378,1446,14.705,False,0.0,False,True,0.0,0.0,tied
5,8105,0,37.780807,52.645943,72.1755,34.39469,64,defensive_third,central,central,central,1644,1707,14.263,False,0.0,False,False,0.0,0.0,tied
5,8109,0,76.283455,43.841644,100.78612,24.502663,38,middle_third,central,central,central,1711,1748,13.573,False,0.0,False,True,0.0,0.0,tied
5,8307,0,87.6317,59.79624,110.302864,22.671165,38,final_third,wide,wide,wide,2032,2069,14.902,True,0.0022427026496822933,False,False,0.0,0.0,tied
5,8364,1,42.666523,43.8108,10.288517,32.378006,55,middle_third,central,central,central,2127,2181,14.351,True,0.20019366266586094,True,False,0.0,0.0,tied
5,8401,0,74.0443,49.457626,90.84738,16.803085,47,middle_third,central,central,central,2249,2295,10.111,False,0.0,False,False,0.0,1.0,losing
5,8425,0,93.47217,18.065748,107.88425,14.412079,25,final_third,wide,wide,wide,2341,2365,13.711,True,0.1732192204612332,False,False,0.0,1.0,losing
5,8526,0,77.490105,60.56057,103.70871,26.218605,73,middle_third,wide,wide,wide,2497,2569,15.072,False,0.0,False,False,0.0,1.0,losing
5,8610,0,84.783516,33.985474,103.59341,18.80989,25,final_third,central,central,central,2691,2715,13.431,False,0.0,False,True,0.0,1.0,losing
5,8650,1,57.835777,39.54457,20.177404,37.65837,66,middle_third,central,central,central,2762,2827,12.908,True,0.29128705346664624,True,False,0.0,1.0,winning
5,8661,0,59.978897,40.05156,84.669044,24.690147,44,middle_third,central,central,central,2838,2881,10.068,False,0.0,False,True,0.0,2.0,losing
6,8746,0,69.941124,37.6185,85.39547,15.454346,29,middle_third,central,central,central,18,46,10.913,False,0.0,False,True,0.0,0.0,tied
